Country,Year,Food Types, Total Waste in Tons , Food Economic Loss (Million $) , Avg Waste per Capita (Kg) , Country Population (Million) (Not Accurate) , Household Waste (%) ,Cluster
UK,2018,Prepared Food,10100.0,10926.0,145.0," 1,364 ",59.0,0
Japan,2024,Dairy Products,47567.0,46166.0,94.0, 33 ,66.0,1
South Africa,2024,Fruits & Vegetables,16964.0,19066.0,193.0," 1,268 ",36.0,0
Spain,2021,Frozen Food,30673.0,31614.0,20.0, 470 ,53.0,1
Russia,2022,Meat & Seafood,38383.0,42044.0,141.0, 515 ,69.0,1
Argentina,2022,Dairy Products,8038.0,8365.0,196.0, 880 ,38.0,0
Spain,2019,Bakery Items,24426.0,26943.0,55.0, 967 ,59.0,1
USA,2021,Bakery Items,34909.0,40851.0,122.0, 237 ,40.0,1
India,2022,Frozen Food,11629.0,11830.0,64.0, 716 ,32.0,0
China,2020,Meat & Seafood,6880.0,7585.0,72.0," 1,387 ",40.0,0
Canada,2018,Frozen Food,1325.0,1513.0,155.0, 221 ,31.0,0
Indonesia,2024,Frozen Food,3567.0,3714.0,52.0, 256 ,58.0,0
Brazil,2019,Dairy Products,8646.0,10179.0,132.0, 73 ,34.0,0
UK,2021,Beverages,41620.0,44143.0,72.0, 109 ,47.0,1
UK,2020,Bakery Items,10908.0,11661.0,45.0, 568 ,32.0,0
Saudi Arabia,2022,Grains & Cereals,42281.0,42665.0,35.0, 994 ,50.0,1
Germany,2020,Fruits & Vegetables,1474.0,1541.0,196.0, 106 ,58.0,0
UK,2018,Meat & Seafood,5636.0,5593.0,35.0, 912 ,59.0,0
Turkey,2020,Meat & Seafood,23475.0,20968.0,45.0, 334 ,46.0,0
Russia,2019,Fruits & Vegetables,27031.0,27392.0,169.0, 920 ,52.0,1
India,2023,Meat & Seafood,43447.0,47096.0,35.0, 16 ,55.0,1
South Africa,2019,Grains & Cereals,34586.0,33098.0,132.0," 1,355 ",34.0,1
South Africa,2020,Beverages,20690.0,17002.0,93.0," 1,202 ",61.0,0
Australia,2023,Bakery Items,35900.0,36124.0,128.0, 504 ,65.0,1
China,2024,Dairy Products,41094.0,42325.0,81.0, 760 ,61.0,1
USA,2022,Bakery Items,48643.0,50038.0,58.0," 1,106 ",52.0,1
USA,2020,Dairy Products,10517.0,11094.0,77.0, 65 ,65.0,0
USA,2020,Dairy Products,19143.0,18628.0,199.0, 545 ,40.0,0
Saudi Arabia,2023,Prepared Food,31799.0,27380.0,45.0, 462 ,31.0,1
Germany,2018,Beverages,6861.0,7700.0,104.0, 496 ,54.0,0
Brazil,2018,Beverages,49123.0,51297.0,99.0, 539 ,64.0,1
Canada,2020,Bakery Items,40263.0,41153.0,58.0, 816 ,53.0,1
Germany,2022,Beverages,14791.0,16498.0,160.0, 668 ,59.0,0
Turkey,2023,Frozen Food,6743.0,6480.0,55.0," 1,118 ",45.0,0
USA,2019,Dairy Products,4194.0,3641.0,188.0, 338 ,49.0,0
Spain,2023,Beverages,46788.0,50857.0,53.0, 663 ,69.0,1
Argentina,2024,Fruits & Vegetables,34378.0,29795.0,119.0, 791 ,31.0,1
Turkey,2023,Bakery Items,23215.0,23317.0,196.0, 670 ,36.0,0
Turkey,2022,Prepared Food,43200.0,47598.0,60.0," 1,077 ",52.0,1
UK,2023,Bakery Items,8030.0,7356.0,76.0, 454 ,50.0,0
Japan,2021,Bakery Items,6815.0,6647.0,55.0, 337 ,32.0,0
France,2024,Bakery Items,3959.0,4270.0,107.0, 987 ,34.0,0
Saudi Arabia,2024,Meat & Seafood,7049.0,7696.0,137.0, 643 ,41.0,0
Italy,2019,Grains & Cereals,4927.0,5657.0,114.0, 406 ,67.0,0
Australia,2021,Grains & Cereals,38211.0,45495.0,181.0," 1,369 ",40.0,1
South Korea,2024,Dairy Products,5058.0,4824.0,145.0," 1,382 ",63.0,0
Brazil,2022,Prepared Food,36133.0,36879.0,117.0, 999 ,38.0,1
Canada,2020,Bakery Items,579.0,646.0,94.0, 534 ,37.0,0
UK,2021,Fruits & Vegetables,24047.0,22581.0,47.0, 27 ,37.0,0
Japan,2024,Beverages,40854.0,40445.0,69.0, 47 ,50.0,1
Indonesia,2023,Beverages,32932.0,37000.0,25.0, 358 ,44.0,1
South Africa,2024,Grains & Cereals,23138.0,27295.0,174.0, 808 ,35.0,0
Argentina,2021,Beverages,3088.0,2810.0,179.0, 391 ,42.0,0
Italy,2023,Fruits & Vegetables,31130.0,36623.0,139.0, 415 ,61.0,1
Brazil,2019,Fruits & Vegetables,31515.0,37429.0,180.0," 1,274 ",37.0,1
India,2018,Bakery Items,41160.0,38826.0,82.0, 835 ,31.0,1
Canada,2022,Dairy Products,40267.0,39934.0,171.0, 845 ,43.0,1
Mexico,2019,Dairy Products,20750.0,20032.0,32.0, 960 ,48.0,0
China,2019,Bakery Items,8381.0,7151.0,132.0," 1,308 ",38.0,0
Saudi Arabia,2022,Grains & Cereals,25689.0,27161.0,190.0, 722 ,41.0,1
Brazil,2020,Prepared Food,15808.0,16826.0,195.0," 1,098 ",33.0,0
South Africa,2022,Meat & Seafood,3751.0,3404.0,113.0, 600 ,69.0,0
Argentina,2020,Prepared Food,15333.0,13656.0,33.0, 600 ,65.0,0
Australia,2020,Fruits & Vegetables,45457.0,47400.0,106.0, 898 ,54.0,1
USA,2022,Meat & Seafood,12712.0,11266.0,31.0," 1,167 ",49.0,0
Argentina,2019,Grains & Cereals,48905.0,57121.0,187.0, 95 ,35.0,1
Turkey,2018,Fruits & Vegetables,38921.0,38773.0,130.0," 1,205 ",61.0,1
Canada,2024,Meat & Seafood,6168.0,6479.0,165.0," 1,190 ",62.0,0
Japan,2020,Prepared Food,3471.0,3642.0,163.0," 1,202 ",53.0,0
Saudi Arabia,2020,Grains & Cereals,36433.0,38640.0,161.0, 790 ,42.0,1
South Korea,2019,Frozen Food,19232.0,16774.0,71.0," 1,235 ",57.0,0
South Korea,2018,Bakery Items,4198.0,4740.0,183.0, 802 ,56.0,0
South Korea,2019,Frozen Food,48376.0,54886.0,112.0, 87 ,41.0,1
Russia,2020,Frozen Food,23721.0,27890.0,56.0, 309 ,70.0,1
Spain,2022,Fruits & Vegetables,49894.0,42739.0,124.0, 447 ,62.0,1
France,2023,Grains & Cereals,42545.0,39660.0,97.0, 58 ,65.0,1
France,2023,Bakery Items,15276.0,13017.0,40.0, 640 ,61.0,0
Australia,2021,Meat & Seafood,3714.0,3261.0,171.0, 233 ,37.0,0
France,2022,Dairy Products,740.0,763.0,173.0, 673 ,59.0,0
Turkey,2021,Meat & Seafood,32933.0,26688.0,175.0, 367 ,45.0,1
USA,2018,Grains & Cereals,25309.0,30171.0,66.0," 1,016 ",34.0,1
Italy,2022,Prepared Food,16593.0,16795.0,40.0, 18 ,58.0,0
South Africa,2019,Bakery Items,49576.0,40383.0,105.0, 173 ,44.0,1
India,2020,Dairy Products,4364.0,4653.0,169.0, 268 ,52.0,0
Brazil,2021,Prepared Food,24386.0,25812.0,54.0," 1,061 ",65.0,0
France,2023,Dairy Products,16870.0,14182.0,157.0, 874 ,37.0,0
Brazil,2023,Meat & Seafood,21397.0,18490.0,178.0, 956 ,46.0,0
South Korea,2019,Fruits & Vegetables,39897.0,34366.0,93.0, 745 ,69.0,1
South Africa,2018,Grains & Cereals,11230.0,9641.0,175.0, 831 ,31.0,0
Spain,2023,Frozen Food,9716.0,10604.0,149.0, 964 ,42.0,0
China,2024,Frozen Food,30244.0,26197.0,172.0, 863 ,46.0,1
Japan,2021,Grains & Cereals,3818.0,4240.0,59.0, 97 ,37.0,0
Germany,2020,Grains & Cereals,35941.0,41777.0,65.0, 904 ,61.0,1
Canada,2021,Beverages,4959.0,4818.0,156.0, 774 ,43.0,0
UK,2020,Dairy Products,20330.0,17756.0,63.0, 51 ,67.0,0
Argentina,2021,Grains & Cereals,44554.0,53406.0,170.0, 667 ,51.0,1
South Korea,2022,Beverages,31835.0,33619.0,186.0," 1,085 ",41.0,1
Germany,2023,Beverages,35644.0,41185.0,66.0," 1,062 ",32.0,1
Spain,2019,Fruits & Vegetables,16134.0,15263.0,129.0, 515 ,50.0,0
Italy,2021,Grains & Cereals,1709.0,1961.0,194.0, 244 ,30.0,0
South Korea,2023,Fruits & Vegetables,41483.0,46333.0,122.0, 245 ,61.0,1
Indonesia,2021,Fruits & Vegetables,46274.0,53925.0,65.0, 537 ,49.0,1
China,2024,Fruits & Vegetables,31631.0,36218.0,181.0, 270 ,56.0,1
Australia,2018,Frozen Food,3623.0,3779.0,165.0," 1,266 ",46.0,0
Australia,2018,Frozen Food,46482.0,55693.0,113.0, 236 ,35.0,1
South Korea,2024,Dairy Products,7654.0,8375.0,41.0, 851 ,61.0,0
South Korea,2020,Beverages,46945.0,50438.0,152.0, 164 ,34.0,1
Argentina,2020,Prepared Food,8933.0,8059.0,119.0, 97 ,65.0,0
Germany,2021,Meat & Seafood,49843.0,53122.0,183.0," 1,185 ",35.0,1
Mexico,2021,Beverages,1504.0,1539.0,141.0, 286 ,36.0,0
UK,2021,Frozen Food,47309.0,48089.0,87.0, 839 ,60.0,1
India,2020,Meat & Seafood,27940.0,25519.0,86.0," 1,253 ",38.0,1
Spain,2018,Prepared Food,13854.0,15118.0,104.0, 83 ,68.0,0
China,2018,Grains & Cereals,38417.0,34207.0,41.0, 808 ,41.0,1
South Korea,2023,Frozen Food,38329.0,41982.0,33.0, 786 ,58.0,1
Indonesia,2024,Dairy Products,42666.0,50089.0,159.0, 661 ,48.0,1
Saudi Arabia,2022,Dairy Products,37587.0,37985.0,60.0, 361 ,43.0,1
Canada,2018,Prepared Food,44840.0,52923.0,161.0, 49 ,46.0,1
Italy,2020,Fruits & Vegetables,14929.0,16121.0,34.0," 1,182 ",48.0,0
Argentina,2019,Prepared Food,48827.0,47822.0,196.0, 397 ,65.0,1
India,2023,Beverages,41053.0,45488.0,157.0, 886 ,58.0,1
Japan,2022,Frozen Food,47285.0,54680.0,87.0, 891 ,34.0,1
Brazil,2019,Frozen Food,21012.0,17190.0,180.0, 254 ,34.0,0
Spain,2024,Fruits & Vegetables,47975.0,57145.0,197.0," 1,192 ",38.0,1
USA,2021,Prepared Food,9750.0,8533.0,89.0," 1,321 ",50.0,0
China,2022,Frozen Food,19971.0,20998.0,101.0, 180 ,58.0,0
Italy,2018,Bakery Items,28265.0,26587.0,132.0, 735 ,38.0,1
Canada,2020,Beverages,14149.0,13279.0,39.0, 775 ,44.0,0
Canada,2020,Fruits & Vegetables,16678.0,19617.0,150.0, 225 ,40.0,0
Japan,2019,Bakery Items,33128.0,33984.0,117.0, 396 ,38.0,1
Italy,2023,Grains & Cereals,49824.0,57142.0,59.0," 1,028 ",65.0,1
France,2020,Frozen Food,35800.0,38747.0,64.0," 1,012 ",41.0,1
South Korea,2020,Meat & Seafood,39534.0,35807.0,30.0," 1,114 ",38.0,1
UK,2021,Beverages,44741.0,52446.0,55.0, 961 ,64.0,1
Russia,2018,Meat & Seafood,5566.0,6573.0,178.0, 113 ,49.0,0
China,2023,Frozen Food,47359.0,41017.0,172.0, 830 ,34.0,1
Australia,2022,Prepared Food,6445.0,6889.0,168.0, 301 ,45.0,0
Indonesia,2022,Prepared Food,10490.0,11669.0,117.0," 1,379 ",66.0,0
UK,2019,Bakery Items,27231.0,25787.0,165.0, 735 ,60.0,1
Russia,2020,Dairy Products,20868.0,22147.0,176.0, 932 ,53.0,0
India,2018,Meat & Seafood,48231.0,51550.0,64.0," 1,355 ",49.0,1
Japan,2020,Beverages,25634.0,28608.0,91.0, 977 ,52.0,1
UK,2024,Dairy Products,47696.0,42731.0,30.0," 1,150 ",35.0,1
China,2019,Meat & Seafood,7525.0,7500.0,56.0, 574 ,62.0,0
Spain,2022,Beverages,16295.0,15743.0,194.0," 1,006 ",33.0,0
South Korea,2019,Dairy Products,48255.0,55700.0,48.0," 1,113 ",32.0,1
South Africa,2018,Meat & Seafood,9674.0,10065.0,140.0, 978 ,41.0,0
Argentina,2024,Fruits & Vegetables,27092.0,29279.0,139.0," 1,151 ",46.0,1
Brazil,2021,Frozen Food,24721.0,27802.0,134.0, 608 ,39.0,1
China,2021,Meat & Seafood,15173.0,16088.0,145.0, 537 ,60.0,0
Saudi Arabia,2023,Frozen Food,16959.0,16229.0,63.0, 516 ,58.0,0
Spain,2018,Fruits & Vegetables,22686.0,26056.0,116.0, 306 ,31.0,0
Brazil,2024,Frozen Food,31823.0,32840.0,82.0," 1,081 ",57.0,1
Turkey,2020,Fruits & Vegetables,26312.0,28731.0,130.0," 1,185 ",60.0,1
South Korea,2024,Prepared Food,12463.0,14522.0,110.0," 1,200 ",64.0,0
USA,2019,Bakery Items,13336.0,15985.0,52.0, 319 ,43.0,0
France,2023,Grains & Cereals,13851.0,11431.0,119.0," 1,158 ",52.0,0
USA,2024,Meat & Seafood,13285.0,14487.0,82.0, 311 ,41.0,0
Argentina,2022,Dairy Products,11937.0,13403.0,137.0, 74 ,63.0,0
Canada,2024,Fruits & Vegetables,28462.0,24132.0,86.0," 1,247 ",56.0,1
Mexico,2024,Prepared Food,32999.0,31325.0,50.0, 869 ,60.0,1
China,2018,Fruits & Vegetables,18784.0,19389.0,81.0, 124 ,62.0,0
China,2020,Bakery Items,11227.0,9121.0,167.0, 42 ,61.0,0
France,2024,Fruits & Vegetables,39610.0,33231.0,64.0, 856 ,46.0,1
Brazil,2020,Grains & Cereals,32670.0,37578.0,113.0, 240 ,57.0,1
Spain,2020,Frozen Food,4595.0,3781.0,29.0, 517 ,59.0,0
Indonesia,2020,Prepared Food,26344.0,21515.0,53.0," 1,323 ",35.0,0
Saudi Arabia,2023,Meat & Seafood,27318.0,25841.0,36.0, 340 ,57.0,1
Russia,2023,Meat & Seafood,37887.0,41861.0,130.0, 657 ,32.0,1
Indonesia,2024,Bakery Items,2225.0,1837.0,104.0," 1,157 ",63.0,0
Mexico,2022,Meat & Seafood,3704.0,3078.0,161.0, 658 ,36.0,0
Indonesia,2020,Frozen Food,41783.0,41757.0,139.0," 1,170 ",41.0,1
Brazil,2020,Prepared Food,44433.0,44849.0,151.0," 1,127 ",61.0,1
Spain,2018,Prepared Food,12951.0,11413.0,32.0, 174 ,40.0,0
Germany,2019,Dairy Products,21322.0,21220.0,143.0, 73 ,44.0,0
Indonesia,2022,Beverages,30712.0,35454.0,85.0," 1,152 ",48.0,1
France,2024,Dairy Products,10301.0,11104.0,62.0," 1,315 ",50.0,0
South Korea,2021,Grains & Cereals,29871.0,31874.0,59.0, 849 ,59.0,1
South Korea,2021,Beverages,3774.0,4431.0,160.0, 505 ,54.0,0
India,2019,Grains & Cereals,16766.0,18497.0,132.0, 99 ,32.0,0
Japan,2019,Grains & Cereals,3286.0,2642.0,30.0," 1,010 ",41.0,0
South Korea,2022,Dairy Products,30609.0,26741.0,87.0, 232 ,43.0,1
Argentina,2019,Frozen Food,20490.0,18726.0,107.0, 336 ,52.0,0
USA,2020,Beverages,36826.0,42049.0,150.0, 516 ,55.0,1
Italy,2021,Meat & Seafood,12148.0,12963.0,113.0, 424 ,67.0,0
Saudi Arabia,2019,Dairy Products,26724.0,22010.0,88.0, 766 ,52.0,0
India,2021,Fruits & Vegetables,20385.0,21467.0,134.0, 856 ,44.0,0
USA,2024,Prepared Food,9273.0,10325.0,182.0, 675 ,46.0,0
Australia,2021,Dairy Products,34325.0,33080.0,81.0, 827 ,48.0,1
France,2018,Grains & Cereals,23329.0,19640.0,139.0," 1,303 ",65.0,0
Spain,2019,Frozen Food,27999.0,24345.0,36.0, 321 ,41.0,1
India,2019,Fruits & Vegetables,10668.0,10114.0,78.0, 709 ,42.0,0
China,2018,Frozen Food,6216.0,7024.0,130.0, 801 ,34.0,0
Australia,2022,Meat & Seafood,25948.0,23899.0,48.0, 470 ,62.0,0
South Africa,2019,Frozen Food,8210.0,7556.0,21.0, 421 ,41.0,0
Argentina,2022,Fruits & Vegetables,43281.0,38482.0,187.0," 1,109 ",30.0,1
Mexico,2021,Grains & Cereals,15742.0,17298.0,100.0, 136 ,66.0,0
Russia,2020,Prepared Food,19747.0,19113.0,168.0," 1,170 ",40.0,0
Turkey,2024,Grains & Cereals,10668.0,9623.0,103.0, 738 ,58.0,0
China,2019,Grains & Cereals,24674.0,28985.0,172.0, 393 ,53.0,1
Argentina,2023,Grains & Cereals,8416.0,6930.0,126.0, 830 ,67.0,0
Italy,2023,Bakery Items,5159.0,5533.0,187.0, 954 ,52.0,0
USA,2024,Dairy Products,2513.0,2273.0,183.0, 821 ,67.0,0
Germany,2020,Fruits & Vegetables,41106.0,47590.0,55.0, 721 ,37.0,1
Argentina,2021,Bakery Items,32589.0,36378.0,173.0, 136 ,34.0,1
Brazil,2021,Bakery Items,19203.0,19148.0,175.0," 1,258 ",34.0,0
South Africa,2018,Fruits & Vegetables,48569.0,50526.0,111.0, 775 ,30.0,1
Japan,2018,Beverages,23991.0,25812.0,159.0, 628 ,58.0,0
Spain,2020,Grains & Cereals,31992.0,31111.0,89.0, 305 ,60.0,1
Italy,2019,Prepared Food,3008.0,2560.0,109.0," 1,312 ",40.0,0
Spain,2023,Bakery Items,26866.0,29649.0,172.0," 1,243 ",65.0,1
Turkey,2021,Fruits & Vegetables,41913.0,38652.0,31.0, 82 ,66.0,1
South Korea,2018,Grains & Cereals,35789.0,40300.0,119.0, 258 ,44.0,1
Italy,2021,Grains & Cereals,40825.0,44057.0,159.0, 391 ,37.0,1
Mexico,2020,Frozen Food,33829.0,37634.0,58.0, 965 ,54.0,1
Russia,2018,Grains & Cereals,33169.0,31096.0,89.0, 798 ,31.0,1
India,2019,Frozen Food,40011.0,42793.0,87.0, 832 ,38.0,1
UK,2019,Bakery Items,11189.0,9814.0,101.0, 623 ,56.0,0
Mexico,2022,Meat & Seafood,49189.0,44353.0,165.0, 659 ,64.0,1
Canada,2022,Dairy Products,8075.0,9515.0,193.0, 552 ,63.0,0
