Country,Year,Food Types, Total Waste in Tons , Food Economic Loss (Million $) , Avg Waste per Capita (Kg) , Country Population (Million) (Not Accurate) , Household Waste (%) 
Saudi Arabia,2022,Meat & Seafood," 11,319 "," 12,341 ", 64 ," 1,018 ", 69 
Turkey,2021,Beverages," 40,184 "," 39,106 ", 152 , 377 , 54 
Japan,2023,Fruits & Vegetables," 2,193 "," 2,460 ", 181 , 706 , 58 
Argentina,2023,Frozen Food," 27,521 "," 25,452 ", 176 ," 1,116 ", 51 
Argentina,2021,Grains & Cereals," 33,487 "," 37,702 ", 86 ," 1,026 ", 31 
USA,2024,Prepared Food," 35,924 "," 30,005 ", 193 ," 1,109 ", 42 
Argentina,2019,Meat & Seafood," 43,465 "," 42,743 ", 129 , 890 , 45 
Spain,2024,Meat & Seafood," 33,791 "," 31,480 ", 66 , 219 , 30 
Indonesia,2023,Meat & Seafood," 48,216 "," 51,594 ", 151 , 353 , 57 
France,2024,Frozen Food," 1,314 "," 1,333 ", 129 ," 1,083 ", 41 
Brazil,2018,Dairy Products," 21,847 "," 20,986 ", 85 , 846 , 35 
Saudi Arabia,2024,Prepared Food," 37,051 "," 38,365 ", 196 , 117 , 68 
France,2020,Beverages," 41,479 "," 45,052 ", 157 , 54 , 40 
France,2020,Bakery Items," 24,927 "," 21,790 ", 49 , 597 , 63 
Argentina,2020,Fruits & Vegetables," 48,169 "," 53,899 ", 60 ," 1,231 ", 32 
Brazil,2023,Prepared Food," 16,973 "," 14,321 ", 99 , 165 , 34 
Spain,2023,Dairy Products," 13,937 "," 15,512 ", 108 , 28 , 41 
Germany,2019,Beverages," 23,004 "," 19,818 ", 77 , 200 , 48 
UK,2018,Prepared Food," 10,100 "," 10,926 ", 145 ," 1,364 ", 59 
Japan,2024,Dairy Products," 47,567 "," 46,166 ", 94 , 33 , 66 
South Africa,2024,Fruits & Vegetables," 16,964 "," 19,066 ", 193 ," 1,268 ", 36 
Spain,2021,Frozen Food," 30,673 "," 31,614 ", 20 , 470 , 53 
Russia,2022,Meat & Seafood," 38,383 "," 42,044 ", 141 , 515 , 69 
Argentina,2022,Dairy Products," 8,038 "," 8,365 ", 196 , 880 , 38 
Spain,2019,Bakery Items," 24,426 "," 26,943 ", 55 , 967 , 59 
USA,2021,Bakery Items," 34,909 "," 40,851 ", 122 , 237 , 40 
India,2022,Frozen Food," 11,629 "," 11,830 ", 64 , 716 , 32 
China,2020,Meat & Seafood," 6,880 "," 7,585 ", 72 ," 1,387 ", 40 
Canada,2018,Frozen Food," 1,325 "," 1,513 ", 155 , 221 , 31 
Indonesia,2024,Frozen Food," 3,567 "," 3,714 ", 52 , 256 , 58 
Brazil,2019,Dairy Products," 8,646 "," 10,179 ", 132 , 73 , 34 
UK,2021,Beverages," 41,620 "," 44,143 ", 72 , 109 , 47 
UK,2020,Bakery Items," 10,908 "," 11,661 ", 45 , 568 , 32 
Saudi Arabia,2022,Grains & Cereals," 42,281 "," 42,665 ", 35 , 994 , 50 
Germany,2020,Fruits & Vegetables," 1,474 "," 1,541 ", 196 , 106 , 58 
UK,2018,Meat & Seafood," 5,636 "," 5,593 ", 35 , 912 , 59 
Turkey,2020,Meat & Seafood," 23,475 "," 20,968 ", 45 , 334 , 46 
Russia,2019,Fruits & Vegetables," 27,031 "," 27,392 ", 169 , 920 , 52 
India,2023,Meat & Seafood," 43,447 "," 47,096 ", 35 , 16 , 55 
South Africa,2019,Grains & Cereals," 34,586 "," 33,098 ", 132 ," 1,355 ", 34 
South Africa,2020,Beverages," 20,690 "," 17,002 ", 93 ," 1,202 ", 61 
Australia,2023,Bakery Items," 35,900 "," 36,124 ", 128 , 504 , 65 
China,2024,Dairy Products," 41,094 "," 42,325 ", 81 , 760 , 61 
USA,2022,Bakery Items," 48,643 "," 50,038 ", 58 ," 1,106 ", 52 
USA,2020,Dairy Products," 10,517 "," 11,094 ", 77 , 65 , 65 
USA,2020,Dairy Products," 19,143 "," 18,628 ", 199 , 545 , 40 
Saudi Arabia,2023,Prepared Food," 31,799 "," 27,380 ", 45 , 462 , 31 
Germany,2018,Beverages," 6,861 "," 7,700 ", 104 , 496 , 54 
Brazil,2018,Beverages," 49,123 "," 51,297 ", 99 , 539 , 64 
Canada,2020,Bakery Items," 40,263 "," 41,153 ", 58 , 816 , 53 
Germany,2022,Beverages," 14,791 "," 16,498 ", 160 , 668 , 59 
Turkey,2023,Frozen Food," 6,743 "," 6,480 ", 55 ," 1,118 ", 45 
USA,2019,Dairy Products," 4,194 "," 3,641 ", 188 , 338 , 49 
Spain,2023,Beverages," 46,788 "," 50,857 ", 53 , 663 , 69 
Argentina,2024,Fruits & Vegetables," 34,378 "," 29,795 ", 119 , 791 , 31 
Turkey,2023,Bakery Items," 23,215 "," 23,317 ", 196 , 670 , 36 
Turkey,2022,Prepared Food," 43,200 "," 47,598 ", 60 ," 1,077 ", 52 
UK,2023,Bakery Items," 8,030 "," 7,356 ", 76 , 454 , 50 
Japan,2021,Bakery Items," 6,815 "," 6,647 ", 55 , 337 , 32 
France,2024,Bakery Items," 3,959 "," 4,270 ", 107 , 987 , 34 
Saudi Arabia,2024,Meat & Seafood," 7,049 "," 7,696 ", 137 , 643 , 41 
Italy,2019,Grains & Cereals," 4,927 "," 5,657 ", 114 , 406 , 67 
Australia,2021,Grains & Cereals," 38,211 "," 45,495 ", 181 ," 1,369 ", 40 
South Korea,2024,Dairy Products," 5,058 "," 4,824 ", 145 ," 1,382 ", 63 
Brazil,2022,Prepared Food," 36,133 "," 36,879 ", 117 , 999 , 38 
Canada,2020,Bakery Items, 579 , 646 , 94 , 534 , 37 
UK,2021,Fruits & Vegetables," 24,047 "," 22,581 ", 47 , 27 , 37 
Japan,2024,Beverages," 40,854 "," 40,445 ", 69 , 47 , 50 
Indonesia,2023,Beverages," 32,932 "," 37,000 ", 25 , 358 , 44 
South Africa,2024,Grains & Cereals," 23,138 "," 27,295 ", 174 , 808 , 35 
Argentina,2021,Beverages," 3,088 "," 2,810 ", 179 , 391 , 42 
Italy,2023,Fruits & Vegetables," 31,130 "," 36,623 ", 139 , 415 , 61 
Brazil,2019,Fruits & Vegetables," 31,515 "," 37,429 ", 180 ," 1,274 ", 37 
India,2018,Bakery Items," 41,160 "," 38,826 ", 82 , 835 , 31 
Canada,2022,Dairy Products," 40,267 "," 39,934 ", 171 , 845 , 43 
Mexico,2019,Dairy Products," 20,750 "," 20,032 ", 32 , 960 , 48 
China,2019,Bakery Items," 8,381 "," 7,151 ", 132 ," 1,308 ", 38 
Saudi Arabia,2022,Grains & Cereals," 25,689 "," 27,161 ", 190 , 722 , 41 
Brazil,2020,Prepared Food," 15,808 "," 16,826 ", 195 ," 1,098 ", 33 
South Africa,2022,Meat & Seafood," 3,751 "," 3,404 ", 113 , 600 , 69 
Argentina,2020,Prepared Food," 15,333 "," 13,656 ", 33 , 600 , 65 
Australia,2020,Fruits & Vegetables," 45,457 "," 47,400 ", 106 , 898 , 54 
USA,2022,Meat & Seafood," 12,712 "," 11,266 ", 31 ," 1,167 ", 49 
Argentina,2019,Grains & Cereals," 48,905 "," 57,121 ", 187 , 95 , 35 
Turkey,2018,Fruits & Vegetables," 38,921 "," 38,773 ", 130 ," 1,205 ", 61 
Canada,2024,Meat & Seafood," 6,168 "," 6,479 ", 165 ," 1,190 ", 62 
Japan,2020,Prepared Food," 3,471 "," 3,642 ", 163 ," 1,202 ", 53 
Saudi Arabia,2020,Grains & Cereals," 36,433 "," 38,640 ", 161 , 790 , 42 
South Korea,2019,Frozen Food," 19,232 "," 16,774 ", 71 ," 1,235 ", 57 
South Korea,2018,Bakery Items," 4,198 "," 4,740 ", 183 , 802 , 56 
South Korea,2019,Frozen Food," 48,376 "," 54,886 ", 112 , 87 , 41 
Russia,2020,Frozen Food," 23,721 "," 27,890 ", 56 , 309 , 70 
Spain,2022,Fruits & Vegetables," 49,894 "," 42,739 ", 124 , 447 , 62 
France,2023,Grains & Cereals," 42,545 "," 39,660 ", 97 , 58 , 65 
France,2023,Bakery Items," 15,276 "," 13,017 ", 40 , 640 , 61 
Australia,2021,Meat & Seafood," 3,714 "," 3,261 ", 171 , 233 , 37 
France,2022,Dairy Products, 740 , 763 , 173 , 673 , 59 
Turkey,2021,Meat & Seafood," 32,933 "," 26,688 ", 175 , 367 , 45 
USA,2018,Grains & Cereals," 25,309 "," 30,171 ", 66 ," 1,016 ", 34 
Italy,2022,Prepared Food," 16,593 "," 16,795 ", 40 , 18 , 58 
South Africa,2019,Bakery Items," 49,576 "," 40,383 ", 105 , 173 , 44 
India,2020,Dairy Products," 4,364 "," 4,653 ", 169 , 268 , 52 
Brazil,2021,Prepared Food," 24,386 "," 25,812 ", 54 ," 1,061 ", 65 
France,2023,Dairy Products," 16,870 "," 14,182 ", 157 , 874 , 37 
Brazil,2023,Meat & Seafood," 21,397 "," 18,490 ", 178 , 956 , 46 
South Korea,2019,Fruits & Vegetables," 39,897 "," 34,366 ", 93 , 745 , 69 
South Africa,2018,Grains & Cereals," 11,230 "," 9,641 ", 175 , 831 , 31 
Spain,2023,Frozen Food," 9,716 "," 10,604 ", 149 , 964 , 42 
China,2024,Frozen Food," 30,244 "," 26,197 ", 172 , 863 , 46 
Japan,2021,Grains & Cereals," 3,818 "," 4,240 ", 59 , 97 , 37 
Germany,2020,Grains & Cereals," 35,941 "," 41,777 ", 65 , 904 , 61 
Canada,2021,Beverages," 4,959 "," 4,818 ", 156 , 774 , 43 
UK,2020,Dairy Products," 20,330 "," 17,756 ", 63 , 51 , 67 
Argentina,2021,Grains & Cereals," 44,554 "," 53,406 ", 170 , 667 , 51 
South Korea,2022,Beverages," 31,835 "," 33,619 ", 186 ," 1,085 ", 41 
Germany,2023,Beverages," 35,644 "," 41,185 ", 66 ," 1,062 ", 32 
Spain,2019,Fruits & Vegetables," 16,134 "," 15,263 ", 129 , 515 , 50 
Italy,2021,Grains & Cereals," 1,709 "," 1,961 ", 194 , 244 , 30 
South Korea,2023,Fruits & Vegetables," 41,483 "," 46,333 ", 122 , 245 , 61 
Indonesia,2021,Fruits & Vegetables," 46,274 "," 53,925 ", 65 , 537 , 49 
China,2024,Fruits & Vegetables," 31,631 "," 36,218 ", 181 , 270 , 56 
Australia,2018,Frozen Food," 3,623 "," 3,779 ", 165 ," 1,266 ", 46 
Australia,2018,Frozen Food," 46,482 "," 55,693 ", 113 , 236 , 35 
South Korea,2024,Dairy Products," 7,654 "," 8,375 ", 41 , 851 , 61 
South Korea,2020,Beverages," 46,945 "," 50,438 ", 152 , 164 , 34 
Argentina,2020,Prepared Food," 8,933 "," 8,059 ", 119 , 97 , 65 
Germany,2021,Meat & Seafood," 49,843 "," 53,122 ", 183 ," 1,185 ", 35 
Mexico,2021,Beverages," 1,504 "," 1,539 ", 141 , 286 , 36 
UK,2021,Frozen Food," 47,309 "," 48,089 ", 87 , 839 , 60 
India,2020,Meat & Seafood," 27,940 "," 25,519 ", 86 ," 1,253 ", 38 
Spain,2018,Prepared Food," 13,854 "," 15,118 ", 104 , 83 , 68 
China,2018,Grains & Cereals," 38,417 "," 34,207 ", 41 , 808 , 41 
South Korea,2023,Frozen Food," 38,329 "," 41,982 ", 33 , 786 , 58 
Indonesia,2024,Dairy Products," 42,666 "," 50,089 ", 159 , 661 , 48 
Saudi Arabia,2022,Dairy Products," 37,587 "," 37,985 ", 60 , 361 , 43 
Canada,2018,Prepared Food," 44,840 "," 52,923 ", 161 , 49 , 46 
Italy,2020,Fruits & Vegetables," 14,929 "," 16,121 ", 34 ," 1,182 ", 48 
Argentina,2019,Prepared Food," 48,827 "," 47,822 ", 196 , 397 , 65 
India,2023,Beverages," 41,053 "," 45,488 ", 157 , 886 , 58 
Japan,2022,Frozen Food," 47,285 "," 54,680 ", 87 , 891 , 34 
Brazil,2019,Frozen Food," 21,012 "," 17,190 ", 180 , 254 , 34 
Spain,2024,Fruits & Vegetables," 47,975 "," 57,145 ", 197 ," 1,192 ", 38 
USA,2021,Prepared Food," 9,750 "," 8,533 ", 89 ," 1,321 ", 50 
China,2022,Frozen Food," 19,971 "," 20,998 ", 101 , 180 , 58 
Italy,2018,Bakery Items," 28,265 "," 26,587 ", 132 , 735 , 38 
Canada,2020,Beverages," 14,149 "," 13,279 ", 39 , 775 , 44 
Canada,2020,Fruits & Vegetables," 16,678 "," 19,617 ", 150 , 225 , 40 
Japan,2019,Bakery Items," 33,128 "," 33,984 ", 117 , 396 , 38 
Italy,2023,Grains & Cereals," 49,824 "," 57,142 ", 59 ," 1,028 ", 65 
France,2020,Frozen Food," 35,800 "," 38,747 ", 64 ," 1,012 ", 41 
South Korea,2020,Meat & Seafood," 39,534 "," 35,807 ", 30 ," 1,114 ", 38 
UK,2021,Beverages," 44,741 "," 52,446 ", 55 , 961 , 64 
Russia,2018,Meat & Seafood," 5,566 "," 6,573 ", 178 , 113 , 49 
China,2023,Frozen Food," 47,359 "," 41,017 ", 172 , 830 , 34 
Australia,2022,Prepared Food," 6,445 "," 6,889 ", 168 , 301 , 45 
Indonesia,2022,Prepared Food," 10,490 "," 11,669 ", 117 ," 1,379 ", 66 
UK,2019,Bakery Items," 27,231 "," 25,787 ", 165 , 735 , 60 
Russia,2020,Dairy Products," 20,868 "," 22,147 ", 176 , 932 , 53 
India,2018,Meat & Seafood," 48,231 "," 51,550 ", 64 ," 1,355 ", 49 
Japan,2020,Beverages," 25,634 "," 28,608 ", 91 , 977 , 52 
UK,2024,Dairy Products," 47,696 "," 42,731 ", 30 ," 1,150 ", 35 
China,2019,Meat & Seafood," 7,525 "," 7,500 ", 56 , 574 , 62 
Spain,2022,Beverages," 16,295 "," 15,743 ", 194 ," 1,006 ", 33 
South Korea,2019,Dairy Products," 48,255 "," 55,700 ", 48 ," 1,113 ", 32 
South Africa,2018,Meat & Seafood," 9,674 "," 10,065 ", 140 , 978 , 41 
Argentina,2024,Fruits & Vegetables," 27,092 "," 29,279 ", 139 ," 1,151 ", 46 
Brazil,2021,Frozen Food," 24,721 "," 27,802 ", 134 , 608 , 39 
China,2021,Meat & Seafood," 15,173 "," 16,088 ", 145 , 537 , 60 
Saudi Arabia,2023,Frozen Food," 16,959 "," 16,229 ", 63 , 516 , 58 
Spain,2018,Fruits & Vegetables," 22,686 "," 26,056 ", 116 , 306 , 31 
Brazil,2024,Frozen Food," 31,823 "," 32,840 ", 82 ," 1,081 ", 57 
Turkey,2020,Fruits & Vegetables," 26,312 "," 28,731 ", 130 ," 1,185 ", 60 
South Korea,2024,Prepared Food," 12,463 "," 14,522 ", 110 ," 1,200 ", 64 
USA,2019,Bakery Items," 13,336 "," 15,985 ", 52 , 319 , 43 
France,2023,Grains & Cereals," 13,851 "," 11,431 ", 119 ," 1,158 ", 52 
USA,2024,Meat & Seafood," 13,285 "," 14,487 ", 82 , 311 , 41 
Argentina,2022,Dairy Products," 11,937 "," 13,403 ", 137 , 74 , 63 
Canada,2024,Fruits & Vegetables," 28,462 "," 24,132 ", 86 ," 1,247 ", 56 
Mexico,2024,Prepared Food," 32,999 "," 31,325 ", 50 , 869 , 60 
China,2018,Fruits & Vegetables," 18,784 "," 19,389 ", 81 , 124 , 62 
China,2020,Bakery Items," 11,227 "," 9,121 ", 167 , 42 , 61 
France,2024,Fruits & Vegetables," 39,610 "," 33,231 ", 64 , 856 , 46 
Brazil,2020,Grains & Cereals," 32,670 "," 37,578 ", 113 , 240 , 57 
Spain,2020,Frozen Food," 4,595 "," 3,781 ", 29 , 517 , 59 
Indonesia,2020,Prepared Food," 26,344 "," 21,515 ", 53 ," 1,323 ", 35 
Saudi Arabia,2023,Meat & Seafood," 27,318 "," 25,841 ", 36 , 340 , 57 
Russia,2023,Meat & Seafood," 37,887 "," 41,861 ", 130 , 657 , 32 
Indonesia,2024,Bakery Items," 2,225 "," 1,837 ", 104 ," 1,157 ", 63 
Mexico,2022,Meat & Seafood," 3,704 "," 3,078 ", 161 , 658 , 36 
Indonesia,2020,Frozen Food," 41,783 "," 41,757 ", 139 ," 1,170 ", 41 
Brazil,2020,Prepared Food," 44,433 "," 44,849 ", 151 ," 1,127 ", 61 
Spain,2018,Prepared Food," 12,951 "," 11,413 ", 32 , 174 , 40 
Germany,2019,Dairy Products," 21,322 "," 21,220 ", 143 , 73 , 44 
Indonesia,2022,Beverages," 30,712 "," 35,454 ", 85 ," 1,152 ", 48 
France,2024,Dairy Products," 10,301 "," 11,104 ", 62 ," 1,315 ", 50 
South Korea,2021,Grains & Cereals," 29,871 "," 31,874 ", 59 , 849 , 59 
South Korea,2021,Beverages," 3,774 "," 4,431 ", 160 , 505 , 54 
India,2019,Grains & Cereals," 16,766 "," 18,497 ", 132 , 99 , 32 
Japan,2019,Grains & Cereals," 3,286 "," 2,642 ", 30 ," 1,010 ", 41 
South Korea,2022,Dairy Products," 30,609 "," 26,741 ", 87 , 232 , 43 
Argentina,2019,Frozen Food," 20,490 "," 18,726 ", 107 , 336 , 52 
USA,2020,Beverages," 36,826 "," 42,049 ", 150 , 516 , 55 
Italy,2021,Meat & Seafood," 12,148 "," 12,963 ", 113 , 424 , 67 
Saudi Arabia,2019,Dairy Products," 26,724 "," 22,010 ", 88 , 766 , 52 
India,2021,Fruits & Vegetables," 20,385 "," 21,467 ", 134 , 856 , 44 
USA,2024,Prepared Food," 9,273 "," 10,325 ", 182 , 675 , 46 
Australia,2021,Dairy Products," 34,325 "," 33,080 ", 81 , 827 , 48 
France,2018,Grains & Cereals," 23,329 "," 19,640 ", 139 ," 1,303 ", 65 
Spain,2019,Frozen Food," 27,999 "," 24,345 ", 36 , 321 , 41 
India,2019,Fruits & Vegetables," 10,668 "," 10,114 ", 78 , 709 , 42 
China,2018,Frozen Food," 6,216 "," 7,024 ", 130 , 801 , 34 
Australia,2022,Meat & Seafood," 25,948 "," 23,899 ", 48 , 470 , 62 
South Africa,2019,Frozen Food," 8,210 "," 7,556 ", 21 , 421 , 41 
Argentina,2022,Fruits & Vegetables," 43,281 "," 38,482 ", 187 ," 1,109 ", 30 
Mexico,2021,Grains & Cereals," 15,742 "," 17,298 ", 100 , 136 , 66 
Russia,2020,Prepared Food," 19,747 "," 19,113 ", 168 ," 1,170 ", 40 
Turkey,2024,Grains & Cereals," 10,668 "," 9,623 ", 103 , 738 , 58 
China,2019,Grains & Cereals," 24,674 "," 28,985 ", 172 , 393 , 53 
Argentina,2023,Grains & Cereals," 8,416 "," 6,930 ", 126 , 830 , 67 
Italy,2023,Bakery Items," 5,159 "," 5,533 ", 187 , 954 , 52 
USA,2024,Dairy Products," 2,513 "," 2,273 ", 183 , 821 , 67 
Germany,2020,Fruits & Vegetables," 41,106 "," 47,590 ", 55 , 721 , 37 
Argentina,2021,Bakery Items," 32,589 "," 36,378 ", 173 , 136 , 34 
Brazil,2021,Bakery Items," 19,203 "," 19,148 ", 175 ," 1,258 ", 34 
South Africa,2018,Fruits & Vegetables," 48,569 "," 50,526 ", 111 , 775 , 30 
Japan,2018,Beverages," 23,991 "," 25,812 ", 159 , 628 , 58 
